side,N,prec,iters,event,per_transform
yafft_v3,512,f64,585937,instructions,13011.699776597143
yafft_v4,512,f64,585937,cycles,2009.2875155520132
yafft_v4,512,f64,585937,fp_arith_inst_retired.128b_packed_double,-0.02421420732945692
yafft_v4,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.512b_packed_double,2051.176264683746
yafft_v4,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.scalar_double,1.0016964281142853
yafft_v4,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,512,f64,585937,instructions,5626.758288007072
fftw,1024,f64,292968,cycles,3981.2244818546737
fftw,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,9590.904146527948
fftw,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.scalar_double,0.9991569045083422
fftw,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
fftw,1024,f64,292968,instructions,17770.35092569837
yafft_v2,1024,f64,292968,cycles,12806.933306709265
yafft_v2,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,19444.028156658747
yafft_v2,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.scalar_double,0.9990101307992681
yafft_v2,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,1024,f64,292968,instructions,60770.71195147593
yafft_v3,1024,f64,292968,cycles,9291.881908604353
yafft_v3,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,-7.850686764424784e-05
yafft_v3,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,9596.280348024358
yafft_v3,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.scalar_double,1.3883291007891647
yafft_v3,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,1024,f64,292968,instructions,28444.013718221784
yafft_v4,1024,f64,292968,cycles,5946.121187296906
yafft_v4,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,0.00036864094372081595
yafft_v4,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,4711.84637912673
yafft_v4,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.scalar_double,0.9969996723191611
yafft_v4,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,1024,f64,292968,instructions,11700.54437686027
fftw,2048,f64,146484,cycles,11030.531689467793
fftw,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,21547.945052019335
fftw,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.scalar_double,1.004962999371945
fftw,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
fftw,2048,f64,146484,instructions,37317.68992517954
yafft_v2,2048,f64,146484,cycles,30487.73680401955
yafft_v2,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,41940.71428278856
yafft_v2,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
