side,N,prec,iters,event,per_transform
yafft_v4,256,f64,1171875,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,256,f64,1171875,fp_arith_inst_retired.512b_packed_double,916.6364782933333
yafft_v4,256,f64,1171875,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,256,f64,1171875,fp_arith_inst_retired.scalar_double,0.9987106133333333
yafft_v4,256,f64,1171875,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,256,f64,1171875,instructions,2905.166296746667
fftw,512,f64,585937,cycles,1599.196466514318
fftw,512,f64,585937,fp_arith_inst_retired.128b_packed_double,0.0
fftw,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
fftw,512,f64,585937,fp_arith_inst_retired.256b_packed_double,4232.737217482426
fftw,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
fftw,512,f64,585937,fp_arith_inst_retired.512b_packed_double,0.0
fftw,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
fftw,512,f64,585937,fp_arith_inst_retired.scalar_double,1.0011434676424258
fftw,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
fftw,512,f64,585937,instructions,7308.7534888563105
yafft_v2,512,f64,585937,cycles,4460.997412691126
yafft_v2,512,f64,585937,fp_arith_inst_retired.128b_packed_double,8317.331842843172
yafft_v2,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.scalar_double,0.9995972263229664
yafft_v2,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,512,f64,585937,instructions,24271.537880352324
yafft_v3,512,f64,585937,cycles,2450.8439559201756
yafft_v3,512,f64,585937,fp_arith_inst_retired.128b_packed_double,-1.8773349353258116e-05
yafft_v3,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.256b_packed_double,4157.297639507319
yafft_v3,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.scalar_double,0.9999590399650474
yafft_v3,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,512,f64,585937,instructions,11079.335851806594
yafft_v4,512,f64,585937,cycles,1677.1119420688572
yafft_v4,512,f64,585937,fp_arith_inst_retired.128b_packed_double,-4.778670744465702e-05
yafft_v4,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.512b_packed_double,2155.351815980216
yafft_v4,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.scalar_double,0.9814007307952903
yafft_v4,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
