side,N,prec,iters,event,per_transform
fftw,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,21535.478427678107
fftw,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.scalar_double,0.34978564211791047
fftw,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
fftw,2048,f64,146484,instructions,37291.67011414216
yafft_v2,2048,f64,146484,cycles,28200.810545861663
yafft_v2,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,42020.87173343164
yafft_v2,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,2048,f64,146484,fp_arith_inst_retired.scalar_double,0.9996040523197073
yafft_v2,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,2048,f64,146484,instructions,121118.99369214385
yafft_v3,2048,f64,146484,cycles,21385.179883127166
yafft_v3,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,0.43492122006499
yafft_v3,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,20968.18616367658
yafft_v3,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,2048,f64,146484,fp_arith_inst_retired.scalar_double,1.0005393080472953
yafft_v3,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,2048,f64,146484,instructions,57698.79191584064
yafft_v4,2048,f64,146484,cycles,13661.647954725431
yafft_v4,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,0.00038229431200677207
yafft_v4,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.512b_packed_double,10325.894452636465
yafft_v4,2048,f64,146484,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,2048,f64,146484,fp_arith_inst_retired.scalar_double,0.9936511837470304
yafft_v4,2048,f64,146484,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,2048,f64,146484,instructions,27038.400214357884
fftw,4096,f64,100000,cycles,28266.87682
fftw,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,46980.40556
